id,codename,en,jp
225,ACID_FAST,Acid,ようかいえき
255,AIR_SLASH_FAST,Air Slash,エアスラッシュ
263,ASTONISH_FAST,Astonish,おどろかす
202,BITE_FAST,Bite,かみつく
237,BUBBLE_FAST,Bubble,あわ
201,BUG_BITE_FAST,Bug Bite,むしくい
229,BULLET_PUNCH_FAST,Bullet Punch,バレットパンチ
271,BULLET_SEED_FAST,Bullet Seed,タネマシンガン
249,CHARGE_BEAM_FAST,Charge Beam,チャージビーム
235,CONFUSION_FAST,Confusion,ねんりき
243,COUNTER_FAST,Counter,カウンター
223,CUT_FAST,Cut,いあいぎり
204,DRAGON_BREATH_FAST,Dragon Breath,りゅうのいぶき
253,DRAGON_TAIL_FAST,Dragon Tail,ドラゴンテール
209,EMBER_FAST,Ember,ひのこ
274,EXTRASENSORY_FAST,Extrasensory,じんつうりき
238,FEINT_ATTACK_FAST,Feint Attack,だましうち
240,FIRE_FANG_FAST,Fire Fang,ほのおのキバ
269,FIRE_SPIN_FAST,Fire Spin,ほのおのうず
218,FROST_BREATH_FAST,Frost Breath,こおりのいぶき
200,FURY_CUTTER_FAST,Fury Cutter,れんぞくぎり
264,HEX_FAST,Hex,たたりめ
281,HIDDEN_POWER_FAST,Hidden Power,めざめるパワー
217,ICE_SHARD_FAST,Ice Shard,こおりのつぶて
260,INFESTATION_FAST,Infestation,まとわりつく
266,IRON_TAIL_FAST,Iron Tail,アイアンテール
208,KARATE_CHOP_FAST,Karate Chop,からてチョップ
212,LICK_FAST,Lick,したでなめる
207,LOW_KICK_FAST,Low Kick,けたぐり
228,METAL_CLAW_FAST,Metal Claw,メタルクロー
216,MUD_SHOT_FAST,Mud Shot,マッドショット
233,MUD_SLAP_FAST,Mud Slap,どろかけ
211,PECK_FAST,Peck,つつく
224,POISON_JAB_FAST,Poison Jab,どくづき
236,POISON_STING_FAST,Poison Sting,どくばり
222,POUND_FAST,Pound,はたく
244,POWDER_SNOW_FAST,Powder Snow,こなゆき
226,PSYCHO_CUT_FAST,Psycho Cut,サイコカッター
219,QUICK_ATTACK_FAST,Quick Attack,でんこうせっか
215,RAZOR_LEAF_FAST,Razor Leaf,はっぱカッター
241,ROCK_SMASH_FAST,Rock Smash,いわくだき
227,ROCK_THROW_FAST,Rock Throw,いわおとし
220,SCRATCH_FAST,Scratch,ひっかく
213,SHADOW_CLAW_FAST,Shadow Claw,シャドークロー
278,SNARL_FAST,Snarl,バークアウト
206,SPARK_FAST,Spark,スパーク
231,SPLASH_FAST,Splash,はねる
239,STEEL_WING_FAST,Steel Wing,はがねのつばさ
261,STRUGGLE_BUG_FAST,Struggle Bug,むしのていこう
203,SUCKER_PUNCH_FAST,Sucker Punch,ふいうち
221,TACKLE_FAST,Tackle,たいあたり
205,THUNDER_SHOCK_FAST,Thunder Shock,でんきショック
242,TRANSFORM_FAST,Transform,へんしん
214,VINE_WHIP_FAST,Vine Whip,つるのムチ
250,VOLT_SWITCH_FAST,Volt Switch,ボルトチェンジ
230,WATER_GUN_FAST,Water Gun,みずでっぽう
232,WATER_GUN_FAST_BLASTOISE,Water Gun(Blastoise),みずでっぽう（カメックス）
210,WING_ATTACK_FAST,Wing Attack,つばさでうつ
234,ZEN_HEADBUTT_FAST,Zen Headbutt,しねんのずつき
