id,codename,en,jp
1,BULBASAUR,Bulbasaur,フシギダネ
2,IVYSAUR,Ivysaur,フシギソウ
3,VENUSAUR,Venusaur,フシギバナ
4,CHARMANDER,Charmander,ヒトカゲ
5,CHARMELEON,Charmeleon,リザード
6,CHARIZARD,Charizard,リザードン
7,SQUIRTLE,Squirtle,ゼニガメ
8,WARTORTLE,Wartortle,カメール
9,BLASTOISE,Blastoise,カメックス
10,CATERPIE,Caterpie,キャタピー
11,METAPOD,Metapod,トランセル
12,BUTTERFREE,Butterfree,バタフリー
13,WEEDLE,Weedle,ビードル
14,KAKUNA,Kakuna,コクーン
15,BEEDRILL,Beedrill,スピアー
16,PIDGEY,Pidgey,ポッポ
17,PIDGEOTTO,Pidgeotto,ピジョン
18,PIDGEOT,Pidgeot,ピジョット
19,RATTATA,Rattata,コラッタ
20,RATICATE,Raticate,ラッタ
21,SPEAROW,Spearow,オニスズメ
22,FEAROW,Fearow,オニドリル
23,EKANS,Ekans,アーボ
24,ARBOK,Arbok,アーボック
25,PIKACHU,Pikachu,ピカチュウ
26,RAICHU,Raichu,ライチュウ
27,SANDSHREW,Sandshrew,サンド
28,SANDSLASH,Sandslash,サンドパン
29,NIDORAN,Nidoran♀,ニドラン♀
30,NIDORINA,Nidorina,ニドリーナ
31,NIDOQUEEN,Nidoqueen,ニドクイン
32,NIDORAN,Nidoran♂,ニドラン♂
33,NIDORINO,Nidorino,ニドリーノ
34,NIDOKING,Nidoking,ニドキング
35,CLEFAIRY,Clefairy,ピッピ
36,CLEFABLE,Clefable,ピクシー
37,VULPIX,Vulpix,ロコン
38,NINETALES,Ninetales,キュウコン
39,JIGGLYPUFF,Jigglypuff,プリン
40,WIGGLYTUFF,Wigglytuff,プクリン
41,ZUBAT,Zubat,ズバット
42,GOLBAT,Golbat,ゴルバット
43,ODDISH,Oddish,ナゾノクサ
44,GLOOM,Gloom,クサイハナ
45,VILEPLUME,Vileplume,ラフレシア
46,PARAS,Paras,パラス
47,PARASECT,Parasect,パラセクト
48,VENONAT,Venonat,コンパン
49,VENOMOTH,Venomoth,モルフォン
50,DIGLETT,Diglett,ディグダ
51,DUGTRIO,Dugtrio,ダグトリオ
52,MEOWTH,Meowth,ニャース
53,PERSIAN,Persian,ペルシアン
54,PSYDUCK,Psyduck,コダック
55,GOLDUCK,Golduck,ゴルダック
56,MANKEY,Mankey,マンキー
57,PRIMEAPE,Primeape,オコリザル
58,GROWLITHE,Growlithe,ガーディ
59,ARCANINE,Arcanine,ウインディ
60,POLIWAG,Poliwag,ニョロモ
61,POLIWHIRL,Poliwhirl,ニョロゾ
62,POLIWRATH,Poliwrath,ニョロボン
63,ABRA,Abra,ケーシィ
64,KADABRA,Kadabra,ユンゲラー
65,ALAKAZAM,Alakazam,フーディン
66,MACHOP,Machop,ワンリキー
